,companys,skills,pub_date
0,virtusaconsultingservicespvt.ltd.,"**pythondevelopment,java,debugging,problemsolving,communicationskills**,css",3 days ago
1,virtusaconsultingservicespvt.ltd.,"**pythondevelopment,softwaredevelopment,debuggingskills,problemsolving,communicationskills**,css,softwareengineer",3 days ago
2,virtusaconsultingservicespvt.ltd.,"pythondevelopment,objectorientedprogramming,testdrivendevelopment,databaseconnectors,linuxenvironment,git,api",few days ago
3,virtusaconsultingservicespvt.ltd.,"dataanalysis,communication,problemsolving,microsoftoffice,visualizationtools,dataanalytics,dataanalyst,sql,tableau,writtencommunication",a month ago
4,SEVENCONSULTANCY,"python,mvc,sql",4 days ago
5,arttechnologyandsoftwareindiapvtltd,"rest,python,database,django,api",6 days ago
6,eastindiasecuritiesltd.,"python,hadoop,machinelearning",few days ago
7,LAKSHHUMANRESOURCE,"rest,python,django,git",few days ago
8,CONNECTING2WORK,"rest,python,django,mongodb",few days ago
9,xoniertechnologiespvtltd,"python,django,testingtools,debugging,storage",6 days ago
10,day1technologies,"rest,python,django,git,postgresql,sql,docker",6 days ago
11,DREAMAJAXTECHNOLOGIES,"python,django,api,sql,nosql",few days ago
12,zengatv,"python,django,html5,javascript",few days ago
13,INFINITYGROUP,"python,css,django,html,bootstrap",few days ago
14,DatagridSolutions,"python,database,django,mysql,api",few days ago
15,virtusaconsultingservicespvt.ltd.,"python,java,debugging,communication,problemsolving,jobposting",2 days ago
16,InfocomSoftware,"rest,python,css,html5,machinelearning,artificialintelligence,javascript,jquery,security,django,debugging",1 day ago
17,virtusaconsultingservicespvt.ltd.,"reactjs,python,microservices,awsintegration,chatbotdevelopment,versioncontrol,applicationdevelopment,coding",1 day ago
18,SEVENCONSULTANCY,"Pythonprogramming,programminglanguage,front-enddeveloper",few days ago
19,virtusaconsultingservicespvt.ltd.,"ai,ml,python,machinelearning,datascience,.net",6 days ago
20,websharaninfotech,"python,problemsolving,softwareproject,softwareengineering",few days ago
21,InnOvatorWebSolutionsPvt.Ltd.,"rest,python,django,webdeveloper,mysql,api",few days ago
22,AnalyticsVidhya,"python,css,html5,html,ajax,javascript",few days ago
23,DealsCorner,"python,css,oops,linux,debugging,html,javascript",few days ago
24,3RITechnologiesPvtLtd,"python,database,security,django,git,mobile",few days ago
